Symbol,DateTime,Open,High,Low,Close,Volume,RSI,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,EMA,ADX_14,DMP_14,DMN_14,ATR,RSI_diff,EMA_diff,ATR_diff,Price_diff,Volume_diff,vol_pct_change,close_pct_change,rsi_pct_change,ROC,bb_width_pct,MACD,MACD_signal,StochK,StochD,CCI,OBV,Close_lag_1,Close_lag_3,RSI_lag_1,RSI_lag_3,roll_mean_close_5,roll_std_close_5,roll_max_close_5,roll_min_close_5,RSI_x_Volume,ADX,True_Range,ADX_x_Range,rolling_volatility_10,log_return,atr_norm,vol_norm,roc_norm,MHI
NSE:ABB,2019-01-02 00:00:00+00:00,1032.1,1039.95,1025.3,1028.9,72447,,,,,,,,,,,,,,,,,,,,,,,,,,,72447.0,,,,,,,,,,,,,,,,,,
NSE:ABB,2019-01-03 00:00:00+00:00,1030.65,1039.95,1019.35,1023.45,65555,,,,,,,,,,,,,,,-5.4500000000000455,-6892.0,-9.51316134553536,-0.5296919039751269,,,,,,,,,6892.0,1028.9,,,,,,,,,,20.600000000000023,,,-0.0053109974522223,,0.4947169708537702,,
NSE:ABB,2019-01-04 00:00:00+00:00,1026.95,1031.3,1013.35,1018.05,67942,,,,,,,,,,,,,,,-5.400000000000091,2387.0,3.641217298451682,-0.5276271434852764,,,,,,,,,-61050.0,1023.45,,,,,,,,,,17.949999999999932,,,-0.0052902401116653,,0.4954946226871688,,
NSE:ABB,2019-01-07 00:00:00+00:00,1024.35,1028.2,1015.7,1016.45,38392,,,,,,,,,,,,,,,-1.599999999999909,-29550.0,-43.49297930587854,-0.1571632041648119,,,,,,,,,-99442.0,1018.05,1028.9,,,,,,,,,12.5,,,-0.0015728683508038,,0.4928180555351856,,
NSE:ABB,2019-01-08 00:00:00+00:00,1021.95,1023.55,1010.2,1016.45,51097,,,,,,,,,,,,,,,0.0,12705.0,33.09283183996665,0.0,,,,,,,,,-99442.0,1016.45,1023.45,,,1020.66,5.43005524833783,1028.9,1016.45,,,13.349999999999907,,,0.0,,0.4963593507415935,,
NSE:ABB,2019-01-09 00:00:00+00:00,1022.5,1026.05,1013.35,1016.45,62605,,,,,,,,,,,,,,,0.0,11508.0,22.52187016850304,0.0,,-1.210030129264267,,,,,,,-99442.0,1016.45,1018.05,,,1018.17,3.0318311298621725,1023.45,1016.45,,,12.699999999999932,,,0.0,,0.4962590329008156,0.4578484335591482,
NSE:ABB,2019-01-10 00:00:00+00:00,1017.4,1019.6,1015.35,1018.0,29048,,,,,,,,,,,,,,,1.5499999999999543,-33557.0,-53.60115006788595,0.1524915145850736,,-0.5325125799990273,,,,,,,-70394.0,1016.45,1016.45,,,1017.0800000000002,0.8628441342452456,1018.05,1016.45,,,4.25,,,0.0015237536433949,,0.4924822380013535,0.4739361836968572,
NSE:ABB,2019-01-11 00:00:00+00:00,1020.4,1061.8,1020.35,1054.0,205592,,,,,,,,,,,,,,,36.0,176544.0,607.7664555218947,3.5363457760314354,,3.5312607435784145,,,,,,,135198.0,1018.0,1016.45,,,1024.27,16.63312207614668,1054.0,1016.45,,,43.79999999999996,,,0.0347525319908395,,0.510090323770174,0.5704310566590434,
NSE:ABB,2019-01-14 00:00:00+00:00,1055.55,1061.35,1017.35,1019.5,138195,,,,,,,,,,,,,,,-34.5,-67397.0,-32.781917584341805,-3.27324478178368,,0.3000639480544989,,,,,,,-2997.0,1054.0,1016.45,,,1024.88,16.327760103578143,1054.0,1016.45,,,43.999999999999886,,,-0.0332801390867977,,0.489646184758309,0.4937058312408542,
NSE:ABB,2019-01-15 00:00:00+00:00,1024.3,1037.35,994.95,1003.95,136105,,,,,,,,,,,,,,,-15.549999999999956,-2090.0,-1.5123557292232026,-1.52525747915645,,-1.2297702789118992,,,,,,,-139102.0,1019.5,1018.0,,,1022.38,18.722533215353096,1054.0,1003.95,,,42.39999999999986,,,-0.0153700917997489,,0.4951194155249611,0.4573797009107371,
